Ngày,Lần cuối
28/01/2011,1980.0
08/02/2011,2006.0
09/02/2011,1995.0
10/02/2011,1990.0
11/02/2011,1980.0
14/02/2011,1944.0
15/02/2011,1908.0
16/02/2011,1888.0
17/02/2011,1867.0
18/02/2011,1857.0
21/02/2011,1765.0
22/02/2011,1693.0
23/02/2011,1683.0
24/02/2011,1637.0
25/02/2011,1693.0
28/02/2011,1627.0
01/03/2011,1596.0
02/03/2011,1525.0
03/03/2011,1519.0
04/03/2011,1519.0
07/03/2011,1519.0
08/03/2011,1519.0
09/03/2011,1591.0
10/03/2011,1668.0
11/03/2011,1750.0
14/03/2011,1663.0
15/03/2011,1709.0
16/03/2011,1678.0
17/03/2011,1709.0
18/03/2011,1791.0
21/03/2011,1765.0
22/03/2011,1791.0
23/03/2011,1816.0
24/03/2011,1832.0
25/03/2011,1842.0
28/03/2011,1847.0
29/03/2011,1842.0
30/03/2011,1801.0
31/03/2011,1791.0
01/04/2011,1786.0
04/04/2011,1791.0
05/04/2011,1786.0
06/04/2011,1837.0
07/04/2011,1801.0
08/04/2011,1801.0
13/04/2011,1791.0
14/04/2011,1796.0
15/04/2011,1801.0
18/04/2011,1796.0
19/04/2011,1765.0
20/04/2011,1760.0
21/04/2011,1739.0
22/04/2011,1704.0
25/04/2011,1775.0
26/04/2011,1760.0
27/04/2011,1780.0
28/04/2011,1765.0
29/04/2011,1750.0
04/05/2011,1801.0
05/05/2011,1806.0
06/05/2011,1801.0
09/05/2011,1796.0
10/05/2011,1801.0
11/05/2011,1801.0
12/05/2011,1775.0
13/05/2011,1791.0
16/05/2011,1786.0
17/05/2011,1755.0
18/05/2011,1745.0
19/05/2011,1739.0
20/05/2011,1653.0
23/05/2011,1586.0
24/05/2011,1530.0
25/05/2011,1463.0
26/05/2011,1535.0
27/05/2011,1612.0
30/05/2011,1560.0
31/05/2011,1637.0
01/06/2011,1719.0
02/06/2011,1765.0
03/06/2011,1765.0
06/06/2011,1714.0
07/06/2011,1786.0
08/06/2011,1739.0
09/06/2011,1745.0
10/06/2011,1739.0
13/06/2011,1724.0
14/06/2011,1709.0
15/06/2011,1673.0
16/06/2011,1699.0
17/06/2011,1622.0
20/06/2011,1612.0
21/06/2011,1663.0
22/06/2011,1688.0
23/06/2011,1642.0
24/06/2011,1627.0
27/06/2011,1596.0
28/06/2011,1612.0
29/06/2011,1591.0
30/06/2011,1566.0
01/07/2011,1535.0
04/07/2011,1606.0
05/07/2011,1606.0
06/07/2011,1586.0
07/07/2011,1545.0
08/07/2011,1519.0
11/07/2011,1519.0
12/07/2011,1479.0
13/07/2011,1504.0
14/07/2011,1494.0
15/07/2011,1473.0
18/07/2011,1479.0
19/07/2011,1473.0
20/07/2011,1545.0
21/07/2011,1479.0
22/07/2011,1479.0
25/07/2011,1489.0
26/07/2011,1494.0
27/07/2011,1514.0
28/07/2011,1519.0
29/07/2011,1550.0
01/08/2011,1519.0
02/08/2011,1509.0
